model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1952_1962,1952,1961,100,20,relu,0.0,0.05,0.3439801834692613,0.4920338699338955
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1952_1962,1952,1961,100,20,linear,0.2,0.01,-0.7521950941165771,0.6006736143803127
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1952_1962,1952,1961,20,5,relu,0.1,0.01,0.19623000144838798,0.5492226207517698
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1952_1962,1952,1961,100,10,linear,0.2,0.001,-0.4735792275231998,0.6588901707617981
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,linear,0.2,0.01,-1.9366841714005205,0.5324650486059838
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1952_1962,1952,1961,50,5,relu,0.2,0.01,0.45837409192037026,0.542733825112665
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1954_1964,1954,1963,100,20,relu,0.2,0.01,-0.19772418712547313,0.18591466289154868
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1954_1964,1954,1963,100,20,relu,0.0,0.05,-0.9536072142186562,0.5740889659293696
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1954_1964,1954,1963,100,20,linear,0.2,0.01,0.1356556461154943,0.41042656753631246
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1954_1964,1954,1963,20,5,relu,0.1,0.01,-0.32020509840876166,0.09321648333756781
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1954_1964,1954,1963,100,10,linear,0.2,0.001,-0.30477928010704547,0.287342253052684
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1954_1964,1954,1963,50,5,linear,0.2,0.01,-0.36464396061715876,0.3831965275302632
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1954_1964,1954,1963,50,5,relu,0.2,0.01,-0.21198658728887088,0.4943104204675093
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,relu,0.2,0.01,-0.7748111485327636,0.6688854536278244
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1956_1966,1956,1965,100,20,relu,0.0,0.05,-1.4928220365928215,0.21136203230666795
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,linear,0.2,0.01,-1.0229923745494611,0.36673590980101384
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1956_1966,1956,1965,20,5,relu,0.1,0.01,-0.002427079099102114,0.45252572857249873
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,linear,0.2,0.01,-0.12189880558131572,0.3895076531263725
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,relu,0.2,0.01,-0.014528187795748604,0.31307268196613913
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,relu,0.2,0.01,-0.25085385893673684,0.5397548906068036
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1958_1968,1958,1967,100,20,relu,0.0,0.05,-0.6644409105414446,0.45713471480486645
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,linear,0.2,0.01,-0.49527017717946675,0.4335227330901148
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1958_1968,1958,1967,20,5,relu,0.1,0.01,-0.4286355749252886,0.6408466969266783
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1958_1968,1958,1967,100,10,linear,0.2,0.001,0.028309033235415226,0.5792362994714155
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,linear,0.2,0.01,0.2062978518653028,0.5417800621426755
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,-0.2639312603221313,0.5189149949326523
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1960_1970,1960,1969,100,20,relu,0.2,0.01,-4.1561311792895435,0.36725940225728165
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1960_1970,1960,1969,100,20,relu,0.0,0.05,-2.623919480808043,0.6237374724767963
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1960_1970,1960,1969,100,20,linear,0.2,0.01,-2.927379970435334,0.2714385201476864
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1960_1970,1960,1969,20,5,relu,0.1,0.01,-0.20027713881793208,0.40952450853844613
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1960_1970,1960,1969,100,10,linear,0.2,0.001,-1.1045068512057812,0.8124566169888909
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1960_1970,1960,1969,50,5,linear,0.2,0.01,-1.4367874579196487,0.46994788389779535
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1960_1970,1960,1969,50,5,relu,0.2,0.01,-0.0451241919716161,0.2810757240080924
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,relu,0.2,0.01,-7.930141522822305,0.5201880950438607
4-nei_L1_100_L2_20_dropout_0.0_testPeriod_1962_1972,1962,1971,100,20,relu,0.0,0.05,-2.89224958479668,0.2279181077499384
4-nei_L1_50_L2_5_dropout_0.2_testPeriod_1962_1972,1962,1971,50,5,relu,0.2,0.01,-2.6668743277166516,0.640771421108797
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1966_1976,1966,1975,100,20,relu,0.2,0.01,-2.217426211397871,0.09002216442371191
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1970_1980,1970,1979,100,20,relu,0.2,0.01,-1.6552285446034518,0.47223246380950745
4-nei_L1_100_L2_20_dropout_0.2_testPeriod_1970_1980,1970,1979,100,20,linear,0.2,0.01,-2.523885569731058,0.19616121776235282
4-nei_L1_20_L2_5_dropout_0.1_testPeriod_1970_1980,1970,1979,20,5,relu,0.1,0.01,-0.15795969324284154,0.49344875525806176
4-nei_L1_100_L2_10_dropout_0.2_testPeriod_1970_1980,1970,1979,100,10,linear,0.2,0.001,-1.0377549148199243,0.3233521363934576
