model_label,testing_period_start,testing_period_end,L1_neurons,L2_neurons,L1_activation,dropout,L1_regularisation,KGE,linear_correlation_coefficient
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1954_1964,1954,1963,50,5,linear,0.2,0.01,-0.38478472203726666,0.14059700676784787
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1954_1964,1954,1963,50,5,relu,0.2,0.01,0.20702136319830755,0.28088036107753656
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,relu,0.2,0.01,-0.21725036084956617,0.3090374180415565
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1956_1966,1956,1965,100,20,relu,0.0,0.05,-0.1413548214012077,0.45801116494485483
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1956_1966,1956,1965,100,20,linear,0.2,0.01,-0.5076118308995892,0.3023198733304382
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1956_1966,1956,1965,20,5,relu,0.1,0.01,-0.4480564800203539,0.4843749778080293
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1956_1966,1956,1965,100,10,linear,0.2,0.001,-1.311293183252484,0.4454150616717586
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,linear,0.2,0.01,-1.445347521118915,0.19874950880288697
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1956_1966,1956,1965,50,5,relu,0.2,0.01,-0.6261991029728857,0.4107646996431879
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,relu,0.2,0.01,0.23859895604466808,0.5324493735651616
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1958_1968,1958,1967,100,20,relu,0.0,0.05,0.3529035705857567,0.39845807561472146
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1958_1968,1958,1967,100,20,linear,0.2,0.01,0.08965062578115668,0.11925337262789808
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1958_1968,1958,1967,20,5,relu,0.1,0.01,0.3098436820164673,0.5844304814982829
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1958_1968,1958,1967,100,10,linear,0.2,0.001,0.3450579834923745,0.5918200486344665
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,linear,0.2,0.01,0.21776565471203402,0.5004088097401614
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1958_1968,1958,1967,50,5,relu,0.2,0.01,0.022046735783021965,0.3784886896743525
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1960_1970,1960,1969,100,20,relu,0.2,0.01,-0.643120522336059,0.3178912021920765
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1960_1970,1960,1969,100,20,relu,0.0,0.05,-0.936899148419063,0.02355624530438242
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1960_1970,1960,1969,100,20,linear,0.2,0.01,-0.09003749321416099,0.07551381407070472
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1960_1970,1960,1969,20,5,relu,0.1,0.01,-1.009687342560957,0.4107447431015802
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1960_1970,1960,1969,100,10,linear,0.2,0.001,-1.5516254587733216,0.3121045627374612
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1960_1970,1960,1969,50,5,linear,0.2,0.01,-3.2736260929378274,0.08803903263961134
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1960_1970,1960,1969,50,5,relu,0.2,0.01,-2.6675732067724307,0.48646419244697825
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,relu,0.2,0.01,-1.8392694844728004,0.5766583342447633
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1962_1972,1962,1971,100,20,relu,0.0,0.05,-2.1470549616740353,0.4666129533503818
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1962_1972,1962,1971,100,20,linear,0.2,0.01,0.16892838048509806,0.3289132715703522
2-nwi_L1_20_L2_5_dropout_0.1_testPeriod_1962_1972,1962,1971,20,5,relu,0.1,0.01,-0.91316422182556,0.11401043407073969
2-nwi_L1_100_L2_10_dropout_0.2_testPeriod_1962_1972,1962,1971,100,10,linear,0.2,0.001,-3.722879416670051,0.13413967888893333
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1962_1972,1962,1971,50,5,linear,0.2,0.01,-3.159720537648277,0.2880456263397683
2-nwi_L1_50_L2_5_dropout_0.2_testPeriod_1962_1972,1962,1971,50,5,relu,0.2,0.01,0.23002744745254933,0.38625645180401874
2-nwi_L1_100_L2_20_dropout_0.2_testPeriod_1964_1974,1964,1973,100,20,relu,0.2,0.01,0.43760975030627036,0.5493636518466565
2-nwi_L1_100_L2_20_dropout_0.0_testPeriod_1964_1974,1964,1973,100,20,relu,0.0,0.05,-0.968929843153963,0.6119976109009827
